,id,value,first_seen,last_seen,relationship_count,detections_count
0,ac06bdda-a523-371b-852f-cd19ae447096,190.117.206.153,2020-08-05,2021-03-03,3,0
1,5c376577-bee7-3985-8a85-a2f1dca453e9,190.18.146.70,2020-08-05,2021-03-04,4,0
2,a2d68797-9315-3b5a-9827-64c599cf6b77,201.213.177.139,2020-08-15,2021-02-11,2,0
3,85433200-679f-36cb-8981-cbd6687be7d1,200.90.201.77,2020-09-01,2021-01-12,2,0
4,b1e54aeb-41b0-3bb0-ac19-562758307755,96.9.77.142,2020-08-05,2021-02-18,2,0
5,943f9256-30a3-36a1-8bee-0499cfe539f3,80.85.87.122,2020-08-05,2021-03-03,3,0
6,750e5b8b-3451-3212-9d90-a958992a17e4,139.60.163.45,2020-11-20,2021-03-04,3,0
7,076e1960-d926-3244-93a6-2cee2a0a79fb,177.230.81.0,2020-08-05,2021-02-11,2,0
8,f7a7fa16-e2c9-33ef-9a81-f6f1d1177e40,185.187.198.10,2020-08-05,2021-02-11,2,0
9,6e414277-8c4b-3a61-b1d3-108bf20a80e3,77.245.101.134,2020-08-05,2021-03-03,3,0
10,97563866-d8bf-341a-87fc-b295c41e50ba,174.100.27.229,2020-08-15,2021-02-11,2,0
11,08c12492-ff2c-3e09-a644-d7b8f5395e0e,177.139.131.143,2020-08-05,2021-02-11,2,0
12,96dffe8f-eebc-35cc-83c3-bd4fdd265a16,91.205.173.54,2020-08-05,2021-02-11,2,0
13,b239820a-4872-3fde-a94c-243f476ad7f3,183.87.87.73,2020-08-05,2021-03-03,3,0
14,b450a2c3-2e97-32bf-9e6b-00065da9e7d3,124.45.106.173,2020-08-05,2021-02-11,2,0
15,ecb56bf4-ff8a-3f38-8332-28af6b3865f8,76.69.29.42,2020-08-05,2021-02-11,2,0
16,67be58f4-c445-317a-a15f-abaa0861a3bb,203.176.135.102,2020-09-01,2021-03-03,1,0
17,b2881e3c-561a-38aa-b913-3c830af5092d,167.86.90.214,2020-08-13,2021-02-11,2,0
18,5d04a439-2488-3a39-b68f-e6fa555cdd9f,93.189.42.225,2020-09-01,2020-10-30,2,0
19,0896fb32-0f37-3957-82fb-a4eb8acd31f9,202.4.57.96,2020-08-17,2021-02-11,2,0
20,dc1f6ee4-4a59-3f9f-8e49-accfd51cdea0,189.209.217.49,2020-08-05,2021-03-03,3,0
21,9048a30c-6830-3211-b821-71abab1ec496,112.78.142.170,2020-08-19,2021-02-11,2,0
22,98b18597-ca2a-302a-b5bd-c668d26665e3,92.24.51.238,2020-08-13,2021-02-11,2,0
23,ac0dd344-d9dc-375a-b435-f65aae8d0ba0,78.12.27.172,2020-08-05,2021-02-11,2,0
24,f0b6eded-29d9-3284-aca5-3c9d97722c57,181.112.157.42,2020-08-05,2021-02-11,2,0
