,id,value,first_seen,last_seen,relationship_count,detections_count
0,d1effefa-1486-3991-902b-af846c78c354,52.28.249.128,2020-08-05,2021-03-04,2,6
1,774fe005-c92e-32a7-a910-122ab0bf35a5,204.95.99.236,2020-08-05,2021-03-04,0,0
2,3473b5ce-14e7-300c-bc78-f92d9c19a5c7,199.2.137.129,2020-08-05,2021-03-04,0,0
3,a3033b7e-0e57-320f-a0ee-9ebf3772b6ac,195.22.26.210,2020-08-05,2021-03-04,0,0
4,65cdaf96-1ade-3370-902a-419f0accc902,199.2.137.176,2020-08-05,2021-03-04,0,0
5,d0b9566e-7a51-3915-a296-79945363bf5f,204.95.99.26,2020-08-05,2021-03-04,1,0
6,c39dfa38-3798-3614-99cd-d55dfa0b2895,178.162.203.226,2020-08-05,2021-03-04,4,0
7,6ad04873-26b4-395d-9301-59228c593340,204.95.99.62,2020-08-05,2021-03-04,0,0
8,a6d5acf6-9a5a-3001-9ec4-49372c943d1a,148.81.111.131,2020-08-05,2021-03-04,0,0
9,2b49b512-c58d-3413-9b14-b79cbcc1b75f,148.81.111.5,2020-08-05,2021-03-04,0,0
10,17a72a8f-270e-396d-ba9d-08e6539dd049,204.95.99.99,2020-08-05,2021-03-04,0,0
11,a99a1915-1ffb-3a83-9ec6-99ca4ee8ac25,148.81.111.135,2020-08-05,2021-03-04,0,0
12,c2d1b3ac-003d-37f8-8232-c40d15c61890,204.95.99.95,2020-08-05,2021-03-04,0,0
13,211a7ed0-a616-381d-9a50-22151f149337,195.22.26.195,2020-08-05,2021-03-04,0,0
14,2b6f879c-30a7-36bc-b0bd-1c9a0142a7d8,204.95.99.222,2020-08-05,2021-03-04,0,0
15,ae40deeb-8ba5-36d8-95ec-16662fe6c5c4,148.81.111.174,2020-08-05,2021-03-04,0,0
16,dea1035c-30ff-3e41-b3cc-9411bc35053d,178.162.217.107,2020-08-05,2021-03-04,4,0
17,3e1a8f79-5759-317c-93b7-d9cddd9621f0,199.2.137.229,2020-08-05,2021-03-04,0,0
18,78e16c46-d375-37e9-a013-c84efa6d9dc4,204.95.99.53,2020-08-05,2021-03-04,0,0
19,9b032f76-e537-374d-8615-2d1a5aa1d83b,204.95.99.118,2020-08-05,2021-03-04,0,0
20,72473482-ee08-3fcf-882d-2068ef2a8bcd,69.195.129.72,2020-08-05,2021-03-04,0,0
21,aa35f4ef-4a6f-36e4-aa79-319b85a3f3b7,195.22.28.194,2020-08-05,2021-03-04,0,0
22,1eb90ef7-3fe6-32c5-a4c7-649ccccc1cab,199.2.137.230,2020-08-05,2021-03-04,0,0
23,d031a669-95e2-38c2-abdb-3ee537e25017,213.219.37.5,2020-08-05,2021-03-04,0,0
24,75da03cf-1ae3-3b3d-9a2d-b0206864dd09,199.2.137.167,2020-08-05,2021-03-04,0,0
25,ac7d28d5-54df-3cc5-aeff-8117e95a9b65,87.106.20.192,2020-08-05,2021-03-04,1,0
26,22fa8313-bde8-370b-9a0f-94df9f8e4e4a,199.2.137.205,2020-08-05,2021-03-04,0,0
27,a5bbb82d-000e-3423-879e-a186b11600bd,199.2.137.37,2020-08-05,2021-03-04,0,0
28,9f3d97dc-3f5f-3eeb-bd2f-4b36b97dbbc0,148.81.111.66,2020-08-05,2021-03-04,0,0
29,380b78ab-67ad-3290-bb14-9fd0b376c627,199.2.137.231,2020-08-05,2021-03-04,0,0
30,d75cca2c-8792-3574-8fac-c35c5a740abc,91.233.244.106,2020-08-05,2021-03-04,0,0
31,87c211b4-dcf6-3ccd-aa3d-d493b2ed5766,199.2.137.82,2020-08-05,2021-03-04,0,0
32,3324d0b7-ab6b-365e-8368-21510869af7b,104.239.159.210,2020-08-05,2021-03-04,0,0
33,9f0e05c5-2a9f-3910-a5ec-cca94ebc50bf,148.81.111.230,2020-08-05,2021-03-04,0,0
34,96b82562-6f00-3f7b-b5d5-8e569b87d4f7,204.95.99.12,2020-08-05,2021-03-04,0,0
35,1f423560-9992-32aa-9bbf-4418c9116e06,204.95.99.4,2020-08-05,2021-03-04,0,0
36,5bad432d-f094-3046-9d71-116a441a49c4,87.106.149.145,2020-08-05,2021-03-04,1,0
37,ad076bfc-d1c8-355b-b973-71b7c3ffa788,69.195.129.69,2020-08-05,2021-03-04,0,0
38,d6b23400-d7a2-3853-87ea-e33e4a98a6fa,199.2.137.18,2020-08-05,2021-03-04,0,0
39,d59ffe9d-2e2c-389e-b985-2238101e6045,204.95.99.100,2020-08-05,2021-03-04,0,0
40,003f4c01-d7e4-34f5-910c-25fc2b29a9d5,166.78.158.73,2020-08-05,2021-03-04,0,0
41,0c5b455b-d106-313a-a718-ae00d66dd9eb,148.81.111.58,2020-08-05,2021-03-04,0,0
42,cbbc975f-fe97-3c9b-9b6c-e3aa74832252,148.81.111.82,2020-08-05,2021-03-04,0,0
43,f9a7a7f0-ffd2-39e9-b178-6154105cfbe5,204.95.99.155,2020-08-05,2021-03-04,0,0
44,59c53871-c136-34fa-9c2a-4ff5faa5b140,195.22.26.222,2020-08-05,2021-03-04,0,0
45,017deeab-bd9f-3baf-858a-8276c47b9f50,148.81.111.43,2020-08-05,2021-03-04,0,0
46,db61e988-22ca-3f3f-9015-4864e69cf798,204.95.99.181,2020-08-05,2021-03-04,0,0
47,c7366771-31e5-3be1-bd21-1a3384128a0f,204.95.99.93,2020-08-05,2021-03-04,0,0
48,130f32fd-df7a-3346-b60d-fef8cbc17042,199.231.211.108,2020-08-05,2021-03-04,0,0
49,9d367845-380d-3338-94d7-b69a43bc06a9,148.81.111.87,2020-08-05,2021-03-04,0,0
50,160eb9bd-1cf6-3036-a020-b70fc0d765f9,199.2.137.189,2020-08-05,2021-03-04,0,0
51,9465c6fc-b53a-3828-8e1e-1f4e491b6c09,148.81.111.53,2020-08-05,2021-03-04,0,0
52,21b2132c-5a39-352c-82d6-2aeff63ea319,87.106.149.153,2020-08-05,2021-03-04,0,0
53,a7a495b9-4367-37e0-be75-a7497a1b8186,148.81.111.12,2020-08-05,2021-03-04,0,0
54,6000bc44-1bc2-35f5-8faf-2698b38cc6b2,148.81.111.202,2020-08-05,2021-03-04,0,0
55,9bc45070-40e7-35d4-be3d-452bc8439e1a,204.95.99.75,2020-08-05,2021-03-04,0,0
56,260862de-3cdb-3cf9-bb1f-06ad64bc4def,199.2.137.187,2020-08-05,2021-03-04,0,0
57,1e9c4290-cf07-3a3b-bd51-41ac0df98d5d,199.2.137.115,2020-08-05,2021-03-04,0,0
58,9acbd56e-68d2-3b90-b7ee-0c28dffe0260,199.2.137.171,2020-08-05,2021-03-04,0,0
59,9d36ef9e-9371-3ae9-a466-9cb6f0f55670,199.2.137.232,2020-08-05,2021-03-04,0,0
60,e3a8014d-6595-3f22-b44e-baa623d85194,45.79.141.164,2020-08-05,2021-03-04,0,0
61,6b5752df-afa9-3061-9180-742b7cca6abf,148.81.111.159,2020-08-05,2021-03-04,0,0
62,8ca47779-3a14-36f6-8f99-7c15f6776dc3,199.2.137.88,2020-08-05,2021-03-04,0,0
63,e52f8b29-e4e1-3435-b860-70d37d4b44c6,204.95.99.27,2020-08-05,2021-03-04,0,0
64,f404d732-4a19-3241-803e-613c9cc92a50,204.95.99.213,2020-08-05,2021-03-04,0,0
65,114e88ff-a24a-3931-a13c-515b84c2952d,195.22.26.205,2020-08-05,2021-03-04,0,0
66,7bd2c795-d4c7-361e-ba80-6fa15f88c6b8,204.95.99.124,2020-08-05,2021-03-04,0,0
67,fac884ed-c088-3bda-bc0b-0ac3617e944c,199.2.137.170,2020-08-05,2021-03-04,0,0
68,fc7925eb-f26e-3b4f-875e-b3e9da6366ed,195.22.26.254,2020-08-05,2021-03-04,1,0
69,6a58b034-16f3-35f8-a6b0-65550a09b72f,199.2.137.56,2020-08-05,2021-03-04,0,0
70,edaec929-6d8c-36b2-8903-e60608233449,209.249.180.243,2020-08-05,2021-03-04,1,0
71,d7712d40-5c2f-3bcf-891c-cd506e85077d,199.2.137.145,2020-08-05,2021-03-04,0,0
72,89f2e487-5326-31c3-a035-4de916f5cd78,204.95.99.219,2020-08-05,2021-03-04,0,0
73,58b54a66-9280-30a3-9c0e-85798e576b66,143.215.15.2,2020-08-05,2021-03-04,0,0
74,8125e473-1b38-3738-9085-b01c3b113704,199.2.137.133,2020-08-05,2021-03-04,0,0
75,18cd95f8-495c-3aed-b69e-f02052033bd0,204.95.99.203,2020-08-05,2021-03-04,0,0
76,88b9f76c-38c7-39fb-a53b-b115f4136f4d,204.95.99.163,2020-08-05,2021-03-04,0,0
