,id,value,first_seen,last_seen,relationship_count,detections_count
0,3a3bb672-c6d0-3a27-8b32-abc12ee1f1f5,85.159.237.210,2020-08-05,2021-03-15,1,8
1,83cec55a-1a18-37de-b861-5651b75a0ecc,103.234.220.197,2020-08-05,2021-01-13,0,0
2,2cb1b8e4-1664-347d-9f5e-fa70ff742f6e,178.175.0.236,2021-02-28,2021-03-15,0,0
3,50b449d9-27ec-3a72-92f1-c3b9d75792c4,117.194.160.190,2020-10-15,2020-11-07,0,0
4,45bbee5d-52ba-32c8-95e0-b041eacbf980,187.121.113.183,2020-10-10,2020-11-03,0,0
5,b36020ad-a51f-33a9-bc77-cd16901f4fd6,212.47.227.72,2020-09-01,2021-03-15,0,0
6,94f92f17-9b34-3a2a-afcb-c75481829176,94.59.241.189,2020-09-26,2021-03-15,1,0
7,1c54a6aa-ca86-3d32-8332-63861ed1e596,116.73.198.64,2020-10-05,2020-11-03,0,0
8,312fbfe4-7db7-32f2-bccb-4fe5ec02c1e5,87.123.42.229,2020-10-16,2020-11-03,0,0
9,60fd5a97-fc06-3607-8564-079aac7fa3ba,80.127.116.96,2020-08-05,2021-01-13,0,0
