,id,value,first_seen,last_seen,relationship_count,detections_count
0,f956573d-23bb-3153-b6cc-740b06896c64,107.172.140.119,2020-09-01,2020-09-11,0,0
1,b6fa5d04-7551-354a-a048-0013a21c984a,193.38.54.170,2020-08-13,2020-09-01,0,0
2,685fa146-d77d-3976-b240-4e03e3a46b55,176.123.6.167,2020-08-05,2020-09-01,0,0
3,7f309457-e3a9-349d-8644-e4f71df916d3,102.65.48.22,2020-09-01,2020-12-16,0,0
4,d2e3d1d7-ad95-3afb-b644-a89b5eed8833,192.42.116.15,2020-08-05,2021-03-04,0,0
5,62b8c662-f984-32bb-97a4-7fd1c7b58b74,185.217.1.246,2020-08-05,2021-03-04,0,0
6,b00e4a66-3490-3964-9632-7ee8cf40805c,46.182.21.251,2020-08-23,2020-09-03,0,0
7,57a29439-86aa-30ae-a0a3-cbd3e4cbe1c9,185.10.68.66,2020-08-10,2021-02-26,0,0
8,aeaf8b89-43de-35bd-9d28-d37f4b77a896,192.42.116.13,2020-08-05,2021-03-04,0,0
9,7519be35-36c9-32a2-b935-8f2ba0ccd109,162.247.74.216,2020-08-05,2021-03-04,0,0
10,90b66d52-a10d-3523-a04a-c7459a76696d,185.10.68.22,2020-08-05,2021-03-04,0,0
11,fab389aa-9ad6-3f96-bea9-20bc193454fc,141.98.9.32,2020-09-01,2020-12-24,0,0
12,2f66eb2b-635a-30b3-af4f-be741ad5ef51,185.220.102.254,2020-08-05,2021-03-04,0,0
13,f2e3dc9f-72a2-394d-82b3-b4512722024e,193.56.28.115,2020-09-01,2021-02-19,0,0
14,5b07613d-c84d-3736-9592-707cb2973efe,77.247.181.162,2020-08-05,2021-03-03,1,0
15,ed55fa92-558f-31b5-967d-e423457fad94,45.95.168.138,2020-09-01,2021-01-12,2,0
16,1539a88e-9fd6-3972-b0b5-56e0b798535f,51.79.53.145,2020-08-05,2021-02-11,0,0
17,311248c3-17a2-3678-9149-8e5d92d5c188,2.57.122.186,2020-08-17,2021-01-03,0,0
18,3e8512f1-a1e8-3aaf-a67a-d7ec01114911,185.220.101.207,2020-08-05,2021-03-04,0,0
19,6a9275b5-ff8d-3a0e-8aef-0c6f0df60aac,207.180.227.177,2020-09-01,2021-01-03,0,0
20,65ac81c9-0ddf-36e5-a755-f0d601cd797d,83.97.20.100,2020-08-05,2021-03-04,0,0
21,cbff1a4c-a666-3061-ac8e-d4276bfd6204,51.158.111.157,2020-08-05,2021-03-04,0,0
22,c1b4b0bc-2df7-3af4-b3f2-6536af6c9c44,82.65.104.195,2020-09-01,2021-01-07,0,0
23,575cdf21-0ffb-3c6b-9974-822c3f4029c5,87.98.155.123,2020-08-05,2020-09-01,0,0
24,f8d81be1-b9c2-3427-b024-c3f3bb06a0be,45.84.196.70,2020-09-01,2021-01-12,2,0
25,10be48fa-21d8-3453-863c-68964d386913,185.220.101.195,2020-08-05,2021-03-04,0,0
26,01ee18f3-530f-31ed-98f6-2b573b708db0,77.247.181.165,2020-08-05,2021-03-04,2,0
27,2d64147e-22de-37fa-bf40-ac9e19113289,107.189.10.42,2020-08-05,2021-03-04,0,0
28,4714334b-9581-3e25-82a5-df09d4af37bf,185.220.102.6,2020-08-05,2021-03-04,0,0
29,1678a009-44cf-3ae7-a367-e0c1c975ee74,139.99.171.51,2020-08-05,2021-01-13,0,0
30,08e91732-19a8-3db1-b8c3-4aff678820c1,51.79.53.139,2020-08-05,2021-01-13,0,0
31,919998a5-bbab-3ba7-85b6-de45f61ba2ed,23.129.64.202,2020-08-05,2021-03-04,0,0
32,473bbdd6-63ff-3f1c-9fd0-5ecbef9b51bd,223.99.14.18,2020-09-01,2020-09-09,0,0
33,faf46a88-776b-3c6a-94e2-6bfce3638df8,185.129.62.62,2020-08-05,2021-02-12,2,0
34,f79abb7a-e7a7-3f29-8747-dbd5ddf08483,51.79.86.177,2020-08-05,2021-01-13,0,0
35,1c93453f-4cc8-39f1-b19e-d400bfe1a316,51.75.64.187,2020-08-05,2021-01-12,0,0
36,93138b18-db9b-3516-80f7-2f6bd095cdfc,107.173.91.157,2020-08-06,2020-09-01,0,0
37,1b948399-35d5-3c06-8f49-bec393c0c4b3,185.220.102.240,2020-08-20,2021-03-04,0,0
38,128f3097-1720-38dd-87b1-8d4c4b83a0c9,209.141.41.103,2020-08-05,2021-03-04,0,0
39,3b2698dc-a3c4-3269-ab8e-064c7b88e13e,185.220.102.247,2020-08-20,2021-03-04,0,0
40,9366f0cd-475c-3570-b089-96de413f5522,208.68.7.129,2020-08-05,2021-03-04,0,0
