,id,value,first_seen,last_seen,relationship_count,detections_count
0,fff4c869-5ba9-365c-b5aa-fe8528c7997d,42.5.47.174,2020-10-29,2020-10-30,0,0
1,0e8c7918-cf8d-3d03-a8fc-1768850cdc69,113.118.7.222,2020-10-29,2020-10-30,0,0
2,69c73070-4c95-36a9-955c-e07e317c12e9,180.106.12.51,2020-10-29,2020-10-30,0,0
3,8e526da5-a5ab-3e24-a658-679532430bdc,222.84.12.200,2020-10-29,2020-10-30,0,0
4,2593e88b-8e2b-318b-90c4-8a1222887afd,124.226.219.166,2020-12-31,2021-03-13,0,0
5,3802ad78-09b7-3134-ae52-ef859391ae88,14.245.165.85,2020-10-29,2020-10-31,0,0
6,40507863-6bd2-3b7f-b2ad-b8e10faa271f,36.82.85.70,2020-12-16,2020-12-16,0,0
7,b0917292-201a-3397-b331-2a77417594b9,182.242.166.154,2020-10-22,2020-10-23,0,0
8,05fefab3-28fb-3cf3-9317-e10e6f01d006,223.151.191.45,2020-12-16,2020-12-16,0,0
9,cb424204-7613-31db-b1e7-a203c5def617,125.108.107.182,2020-10-29,2020-10-30,0,0
