,id,value,first_seen,last_seen,relationship_count,detections_count
0,c23b1471-17b7-4876-bde5-3e3e8ec798cd,821f787689a6b8bf55b883d33ab2f488877ae0816eb705f176890a8d566074ca,2011-03-13,2019-07-25,722,0
1,a9472d99-082d-439a-9902-67224e9e4ba2,60d01a4d284187e09d633e79d7749307,2020-10-03,2020-12-23,811,5
2,ce6ea42f-3724-4b23-ba33-e3603b3f8edf,c62a:fd00:4f4b:5f42:deba:2011:549a:4ae7,2019-12-08,2020-05-16,911,0
3,e77c7840-f91b-4575-890d-77a678482017,d153:d404:4b56:affd:544a:8f4b:7bd4:b5e2,2016-12-02,2020-04-11,226,5
4,3f34191f-e787-4e21-9519-8c629d61c70f,14.15.4.94,2015-12-26,2018-06-12,431,3
5,dffd7b68-697b-45c1-9364-e6c51f0463b4,100.143.7.245,2012-04-19,2020-11-28,768,5
6,41c4207b-2895-424f-9ed0-c1ce8d9ef3b9,130.2.42.88,2014-11-06,2019-11-21,334,2
7,c57cef1c-d1bd-4dc5-b0be-fa26587e1a2b,edd92cf8dc927fa01b8eddd2c7d3598c,2013-11-01,2018-04-21,323,3
8,ffb7f168-7ed8-4f58-a8af-36465d8da637,193.208.148.176,2017-08-20,2020-01-24,16,2
9,a87f1fd2-078c-45e7-ab6b-d2f52c6ff4f1,d3b6:b54:6465:4291:d3ed:4307:c754:9023,2011-03-09,2012-06-18,644,0
10,080e7d08-8be9-4c0a-81e0-b2c314fe99ed,106.106.44.110,2018-08-17,2020-07-05,235,2
11,cc164d47-2845-4745-9414-af830f776c17,fb4de8219a7e3408b8050d60551bb799053feedfe5bb0eeeeb6d26421ff66eb0,2013-03-02,2013-04-11,830,0
12,db1b10c5-fb58-498d-8d4e-7f7b6b49b4fa,143.6.31.70,2017-01-27,2017-05-18,792,5
13,0f4f8e66-699c-4f60-9ce0-d5d7bbe668b2,1051:9ad6:3123:65aa:40e7:14e1:fec5:7216,2010-05-06,2019-10-25,967,5
14,166ccc10-1a5d-480d-bd33-b7ee7c07aa8e,5c2f:d485:8725:af0a:3595:615f:bf53:8aef,2012-11-17,2019-09-23,713,1
15,ef73682e-dde1-4aa9-89f0-ff0e722ffecf,98cd:4b89:e174:e2ab:75d4:782a:5e3c:348e,2015-01-11,2016-02-04,447,4
16,0f512eb8-2870-42cf-bce9-4e76c5b98874,61.72.53.47,2018-11-19,2019-11-04,270,3
17,817076f4-0e7c-4849-b1ba-8d7926bf6340,e2a3e4cc3d25591c27c6f382de4b6470,2017-07-18,2021-01-05,992,1
18,9ae9f1ba-b082-4465-afb4-7479c830bbb7,a5b0664283ba1e7ae2e49dd94c33a681a29a7bdb,2021-01-14,2021-02-08,553,5
19,a361b9e0-684d-4bd7-8d22-807a9f40c5eb,a114:6582:71d8:f615:bcdc:9f69:cd0d:bd3c,2018-03-17,2020-05-13,852,5
20,1f481cee-46bd-4fe8-bbaf-b8fc236d2aa3,b66e:8cbb:5b0d:3efa:1448:556d:c9a7:2090,2010-04-22,2015-02-23,671,2
21,4e60f06d-1e87-45d1-a0d2-c2e9563f70ef,99.164.165.175,2010-09-27,2020-09-29,945,4
22,30b8aa54-76c4-49f9-8728-682aebf198f6,163.163.144.17,2016-01-25,2017-11-01,636,1
23,82cd0a76-7bb9-4357-8658-87b6c8866a66,c7408563c5e411aeba6eb50ca4a66b53f942ecba,2017-05-07,2017-10-31,957,3
24,28ec852c-ec15-4fdc-9422-45761f195325,245.74.132.213,2010-06-09,2013-07-26,769,5
25,1003ff3f-d63b-4972-916e-67fa0e0d231f,db6c:1777:d2a:13a1:b588:ca6d:29f0:a3f6,2012-09-28,2015-06-15,190,0
26,d562a3aa-ba3f-47fd-aa3e-c27b78fdd651,69.9.51.67,2012-02-17,2020-02-19,780,2
27,19ca50f8-105c-4ab7-8531-4a7656569dc7,f608:1d9e:e547:e79f:ee59:4ed7:94ff:f481,2019-01-13,2019-08-19,917,5
28,01435148-6679-40f6-bea9-43ac49ae7c3d,8a70d4cbccd55d6fc32006cdf1ec3d883574b637,2018-11-27,2020-07-20,482,4
29,c7365e6a-f0c4-4489-8165-76228e1c4582,b75d4139a405aaea1dbcd956bba258fc7af748bc,2015-03-15,2017-02-28,455,2
30,c78a2d29-fc97-493c-8772-8b6c0060fe2c,24.12.131.126,2019-12-08,2020-06-07,90,4
31,65577f8d-2b31-4b19-9e01-ec9c7d7de03b,72.248.95.233,2018-07-04,2020-05-26,384,0
32,f6a7cd88-99ca-4847-8bb8-3b61ea10ae38,75f819d94c77d530f9cd53fcbc40596f,2014-10-25,2018-12-17,961,0
33,09b857a6-2b4c-4d2e-9c3a-eb97d5a23368,cb1e:108c:273c:42fe:2ef3:e7eb:ec92:5783,2020-06-15,2020-07-16,957,1
34,fdbde559-40b6-41e6-85b4-24afba968db7,fa30:b268:586c:32cd:a5ef:c20a:1aad:a2b,2016-02-09,2016-08-03,49,3
35,8f23b050-d4d9-457f-afbc-7d723fd48718,1b33e41c2ef775602cb1b9d110c35f84,2021-01-22,2021-01-26,301,0
36,e3dca7f6-4dad-4599-9d2d-1dc2b3801787,052a4803e7498675bb7b4bce4c6aa2b75e0bdd17,2017-05-30,2019-04-01,323,2
37,48ccb254-a7a4-4ad9-b531-9b968b145591,200.71.240.71,2013-06-25,2020-07-01,216,1
38,975e55d3-11ec-47c1-9e66-fd6559f1ecc8,a31c41cae0656f1e91966cd4a2986328,2012-03-03,2012-04-21,956,0
39,94c98903-444e-4ed4-8b36-ac5074623a1c,c6:3d6:b549:a7b5:36ce:d039:6627:e2d5,2015-11-18,2017-04-16,669,1
40,8d0c300b-1c05-401f-82e8-6db68cb04c6a,1f30:2be7:5cf2:6708:f100:49a9:6ef9:556,2014-09-04,2017-08-22,45,4
41,c264f764-dde0-4b73-b7bb-462c257d2531,659:ef1e:d555:25f9:5549:2ada:4357:7a4d,2011-10-27,2018-08-22,964,4
42,41da0d0d-2706-46cc-9232-72acc123b162,42.20.181.164,2017-08-02,2019-03-28,532,4
43,cc23fba0-1582-4bd6-8da6-75f148395439,9.54.27.111,2011-05-04,2015-12-14,900,0
44,15fbcad0-cf53-481c-a9d4-9ba0c7104fb9,44.95.220.57,2016-09-20,2017-02-28,955,2
45,fa96fce8-a31b-4963-ba7c-3247771d9c63,25d42adb19c420ca7b5619e1a5fce8cd,2013-11-06,2019-01-01,691,0
46,bf3065fb-b2f8-4741-952e-851d381650e7,165.17.31.186,2019-01-05,2019-09-16,258,0
47,123e76a4-12f1-4ff2-bb8a-31ea3c36ca9b,3b86:d770:599d:9545:6e17:459b:755b:ea97,2014-04-23,2017-07-14,666,5
48,1ac5bf74-55e5-4183-a0c4-5ce00234876e,1c79:ead0:a207:fddc:a26a:4689:899a:8a18,2015-05-20,2016-12-08,304,5
49,deca9133-c5fd-44db-95de-f076bc04856d,2747fb7e8f2882b20494150b9f34bd089596e4ad,2013-04-16,2014-03-31,590,0
50,8c480919-6104-4a7f-aff4-6164211361a9,39f2ba94b9df0bbba32539fbdd3852abaae1ada98622bba79803e0030753f519,2012-02-09,2017-12-18,777,5
51,22f47f9c-88b2-4f2b-9818-e913ce4459be,33a0a6d65039837edceb2703eac7f35b,2011-02-14,2014-07-17,212,5
52,48aa5b66-f9dc-4342-9ada-6016f71e8d12,7d174d66bd976a39adbd21c06227b761,2019-04-22,2021-02-16,752,4
53,cf5631d3-3c47-415b-925c-8d0a57346d32,13822a24584a71f0dfcde913b20b1748,2015-11-10,2017-03-01,774,0
54,beb3fcea-8a6f-4199-b1da-8fadc85246db,77.95.37.86,2015-06-29,2019-11-19,619,2
55,e5e9e593-08d0-486e-b803-27dcdb68d288,242.95.165.216,2014-06-07,2015-09-02,707,3
56,0d2bb0f7-96e0-4cbe-bf17-cb6632f9ea6e,84.211.74.200,2012-10-09,2018-08-07,712,1
57,e4493be5-a7ca-48ae-aaa2-aaf5c0e25252,68fe:1903:dc70:7dae:f70b:61eb:2ce7:15a7,2014-12-15,2019-04-17,407,1
58,2ba0c883-994d-4a82-907f-5c42774eee14,653ba4eea62270700508d913f5377dcc,2012-08-14,2018-04-18,409,5
59,39e987d1-0e74-4f5b-974e-18d537c4d676,d9220ea8e058af47fb3b9e5c5051b2175f012a2f353d8ba63ba696e4ce6a7626,2016-11-21,2017-05-20,664,5
60,f27a79ca-0801-422a-b22b-092698c8c379,e5085a6effff4ea785409df8ec7ffa3bc762ffc5,2014-08-02,2018-03-29,832,2
61,0324846a-2e0d-4d6a-9ac6-12d12c9f5625,2a16:ac62:fda7:e465:e0f0:5364:c77c:37a7,2014-11-23,2016-01-18,773,0
62,dee93494-3972-498d-b70d-c837c1b95d64,36.135.223.87,2015-01-02,2016-03-03,792,4
63,cd373144-de66-42f9-a5ab-4866d4d727b1,95.88.54.85,2017-05-30,2020-02-28,109,2
64,46a0fffa-5e3a-4ed0-b9f3-e8f888e60797,784326f2fbfd96721966a9404c5f73de7ab25bc7,2010-09-14,2011-01-30,8,1
65,988068bd-d363-4e73-95fe-00fc3376483a,cc38:b950:4c4c:2682:165f:a595:897:18ca,2018-08-11,2020-03-23,178,1
66,c791a894-40c9-4fbd-bd3b-07fa79573cb2,e6dfcc4054b6078011e8fa1192064bc735deefa3,2012-07-30,2015-10-30,892,3
67,a9f1c568-95c7-448b-affb-10596cb7c676,48.110.221.154,2015-11-11,2016-01-04,528,4
68,72795a9f-5636-466f-b713-1abffc5a65ab,116.215.138.161,2010-11-25,2019-09-03,122,5
69,0a8eb316-5647-4668-aa6c-62dddd327d3c,159.84.43.177,2014-06-27,2017-02-09,359,3
70,82b8972c-e2d6-4932-84b5-38934db9e693,1e1f:915b:5b65:48c7:d2ca:d087:e1aa:5ef1,2019-01-07,2019-08-16,918,5
