,id,value,first_seen,last_seen,relationship_count,detections_count
0,ac98617d-0f6e-33a5-bad7-4d0d8c08d7e8,91.235.129.180,2020-08-05,2021-03-15,1,7
1,e0907b08-ca3b-3cec-a9ef-78634ec1b244,195.54.163.74,2020-08-05,2021-03-15,7,2
2,049103b5-c57b-3676-bb71-43e84dde612a,mseupdate.ourhobby.com,2020-08-05,2021-03-15,1,0
3,07130149-e9ab-3994-97ed-a4c76850f52b,corp-dnsonline.itsaol.com,2020-08-05,2021-03-15,1,0
4,e4fdde14-af96-3edd-94a7-86162a70d2bf,microsoftupdates.vizvaz.com,2020-08-05,2021-03-15,1,0
5,0d5ab15d-a384-30c1-870c-53fba28073bc,cs.lflink.com,2020-08-05,2021-03-15,1,0
6,0f3799cf-13b5-348b-9fe4-8f694c7524fd,alexeyeva.jumpingcrab.com,2020-08-05,2021-03-15,1,0
7,1dce9794-7b9b-3af3-9b74-09354cfa49a8,devilcase.acmetoy.com,2020-08-05,2021-03-15,1,0
8,c961b851-4fe7-3d42-9aca-b34f475fab28,balance.rebatesrule.net,2020-08-05,2021-03-15,1,0
9,1b6e4952-468c-3da5-8d4c-5ce6386b60c0,windowsupdate.dns05.com,2020-08-05,2021-03-15,1,0
