,id,value,first_seen,last_seen,relationship_count,detections_count
0,ccaecd93-fb61-4b29-b5cd-31c27fc56827,48f6:e27:81b6:2a3:b495:42a6:2da:9e41,2020-12-19,2021-01-26,847,5
1,50c04174-5a02-48b3-a6bb-466a530b8039,692d16f45c2b7de9bf5b0646d75420dfe263fdfdab454e222b39b025b66433ad,2020-12-02,2021-01-22,802,5
2,f1a721d0-3a0e-476d-8597-cf5a12c20173,9906:3a53:2871:2710:172e:892b:28f3:4ea2,2021-02-21,2021-02-21,525,0
3,3dceef2d-5268-4b8d-a3b0-7203a2ae6d42,250.238.211.168,2021-02-18,2021-02-24,691,4
4,d76a93be-b9b2-4198-8f42-88d0139e7d0d,9b9eb206c70d400984a34062e79bdf47118ba0292c74a2f206d2ef8ac0dbb3c1,2021-02-22,2021-02-24,454,0
5,17624f9c-15e6-41f4-80e4-7dd24a2523df,179f:1c4d:33e6:bc1c:171a:34bc:4100:6ac,2021-02-15,2021-02-15,12,4
6,b0938fb1-e8ce-49e9-b36f-d730f3569a6c,87bd:3f17:940c:b0b6:9527:21b3:f5a5:1c8a,2020-12-07,2021-02-15,691,1
7,4ef104aa-02eb-432a-b37f-ab1ebdb42458,0.124.228.83,2021-02-12,2021-02-20,710,0
8,892784c1-82ae-484a-862c-d98fc075db94,ef2f:b058:b566:2eca:8e5a:c961:92f6:39a,2021-02-03,2021-02-10,306,3
9,66b9c769-6fa5-4add-aa94-215e161f5e95,75.110.155.71,2020-12-02,2021-02-09,49,5
10,499a7e31-96dd-4571-80a8-2e02a8f7719f,a44d980aa092e54486ea386509a564e363d3abf1,2021-02-09,2021-02-20,744,4
11,a3265c66-a710-4ad0-8448-3d5bdcbe37ae,05dda297687da98fa706a644c0544e3f15a7964f,2021-01-13,2021-02-10,777,5
12,bd8fa862-e996-4bf2-8765-89490247760a,65.17.159.29,2020-12-08,2021-02-01,542,3
13,e40619bd-cf65-4d30-997e-8bf414ae31a4,112.196.11.65,2020-12-15,2021-02-18,942,2
